mbwa,dog,0.55
lulu,pearl,0.51
wingu,cloud,0.42
iktisadi,economy,0.38
goti,knee,0.36
yai,egg,0.36
pombe,beer,0.32
godoro,mattress,0.31
fagio,broom,0.28
tabibu,doctor,0.27
buu,maggot,0.26
ndoo,bucket,0.26
nyanya,tomato,0.26
sumu,poison,0.26
roho,soul,0.24
chakula,food,0.23
kaa,crab,0.22
maiti,corpse,0.22
farasi,horse,0.21
leso,scarf,0.21
hariri,silk,0.2
malkia,queen,0.2
rembo,ornament,0.2
zulia,carpet,0.2
pipa,barrel,0.19
fununu,rumor,0.18
pazia,curtain,0.18
theluji,snow,0.18
tumbili,monkey,0.18
vuke,steam,0.18
wasaa,leisure,0.18
kaburi,grave,0.17
rafiki,friend,0.17
sala,prayer,0.17
kaputula,shorts,0.15
mashua,boat,0.15
punda,donkey,0.15
usingizi,sleep,0.15
ziwa,lake,0.15
elimu,science,0.14
zeituni,olives,0.14
adhama,honor,0.13
adui,enemy,0.13
bustani,garden,0.13
dafina,treasure,0.13
embe,mango,0.13
nabii,prophet,0.13
pafu,lung,0.13
pamba,cotton,0.13
samadi,manure,0.13
baharia,sailor,0.11
chama,society,0.11
jani,leaf,0.11
chura,frog,0.1
lozi,almond,0.1
nira,yoke,0.1
wakili,agent,0.1
yatima,orphan,0.1
bahasha,envelope,0.09
chaza,oyster,0.09
fumbo,mystery,0.09
hamira,yeast,0.09
vumbi,dust,0.09
ambo,glue,0.08
bandari,harbor,0.08
dalasini,cinnamon,0.08
inda,spite,0.08
jeraha,wound,0.08
lango,gate,0.08
nanga,anchor,0.08
paji,forehead,0.08
zabibu,grapes,0.08
desturi,custom,0.07
duara,wheel,0.07
handaki,trench,0.07
joko,kiln,0.07
mfupa,bone,0.07
sahani,plate,0.07
sanda,shroud,0.07
utenzi,poem,0.07
adha,trouble,0.06
jibini,cheese,0.06
kasuku,parrot,0.06
rushwa,bribe,0.06
tajiri,merchant,0.06
talaka,divorce,0.06
yamini,oath,0.06
ankra,invoice,0.04
chimbo,quarry,0.04
gharika,flood,0.04
gutu,stump,0.04
hadithi,story,0.04
kamba,rope,0.04
lawama,blame,0.04
nafaka,corn,0.04
fahali,bull,0.03
mshoni,tailor,0.03
ruba,leech,0.03
ladha,flavor,0.02
ubini,forgery,0.0
